superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	424.787653961542	310.018273477486	270.970061771753	981.590920209742	328.747813296152	643.700725128309	263.821549209303	166.658894863676	431.525585196821
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	15306.2046560112	10939.9438790677	8087.35632438806	42021.1376133447	16487.4813106918	21009.8420987687	10684.2120398236	6544.76300777814	14702.4580784796
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium	174.05229609124	124.127024801138	122.509038936219	425.174702583829	167.582855697773	277.570119667717	111.963345481323	78.308738145374	208.001575930447
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	68.8470839758028	42.9992642705825	35.2541590552868	142.538457076573	52.2871233651921	72.0125857368941	30.005089461011	21.9496951943199	65.1911675659195
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	33.5092811909976	24.1491692284084	22.6060874049131	59.1926675373454	23.9108785009796	42.0083144685112	27.2454387624146	14.8705401350537	36.4285210985601
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Tepidibaculum	17.3649175131346	11.1204002108291	0	37.3877659448055	23.8134796874958	21.1936751241731	0	0	11.3241506444066
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unassigned	510.467895549738	395.056264043682	349.462263675657	1145.10103262159	548.99414268079	673.109312154442	290.58495554027	236.661780927519	483.186874295654
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Flintibacter	721.163818580242	593.82615147799	580.397637890236	1598.50419580235	643.182538452681	1048.4439855898	464.584339210317	297.093447985859	805.169171790794
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Intestinimonas	13.7769400487274	0	0	41.2164900177637	0	11.2079429004808	13.8828645363201	0	16.7226887450358
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Massilistercora	23.3222474077123	20.2132546055455	19.000466834539	50.121150122019	29.0350357354065	35.5792514412156	17.0162339204356	0	22.2160456237658
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Monoglobus	2954.06409254098	1800.09580794051	1832.32210860121	8209.52262528662	2654.86931137245	4099.98400317852	1918.66297089004	1013.75812930346	2819.3298693046
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	unassigned	443.696204614067	289.22741654647	295.852015728828	1017.17226856192	341.545714240528	641.305117707243	316.062584617757	159.769265725272	449.759193703807
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus	0	0	0	15.0041142446228	0	0	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	48.0457550101347	33.9648134061146	27.0226815526328	163.048235350044	65.0543528175601	70.0492045162629	73.0548471278334	36.0452284143867	104.11552595702
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	24.0137604733294	14.0120816246347	17.0142548498217	52.0142627146869	30.0220710956809	50.0257175514351	25.0223779487519	14.0175806461033	57.0274990726686
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Longibaculum	0	0	0	12.2357605701626	12.9194846306745	0	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massilimicrobiota	51.0293557625274	38.0331886890296	21.0176493628983	130.03602979849	56.0413324087156	87.0448926594825	56.0501266052042	42.0531211475158	91.0549465081725
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unassigned	0	0	0	16.4555843145221	10.1137204381868	0	16.0143218872012	0	20.0096487974276
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	10011.9994467546	6521.74927457214	6986.18865339145	24223.3761630702	8076.85721427771	14380.9137886463	6540.71450119097	3562.60905414822	11011.4157609675
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	98.0261613876216	35.0302040615868	75.0628890433311	104.028525446132	77.0566491455811	63.0516949889964	62.055502658566	23.0288824900269	94.0453493479097
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Anaerosporomusa	0	0	0	21.0856175142185	0	20.5292633992049	0	0	0
