species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Desulfovibrio fairfieldensis	6.29478102871174e-05	7.4188483950967e-05	0	0	0	0	0	0	0
Desulfovibrio vulgaris	6.88584583647605e-05	9.16065397016666e-05	0	0	0	0	0.000132253643156909	0	0
Dialister invisus	0.00104542267628205	0.00104637313569579	0.00124681643668985	0.00127769929789791	0.00120934296586613	0.00131562095707313	0.000895400895400895	0.000818321908709284	0.000941305073937996
Dorea formicigenerans	0.00523933480251644	0.00539613040949888	0.00493441806165864	0.00487073923211549	0.00531779480185464	0.00536815811529233	0.00479273387344623	0.00526983526737407	0.00504714553596222
Dorea longicatena	0.0140346089231309	0.0137430408918303	0.013236297144876	0.0137106178222214	0.0137474866208957	0.0130065855350116	0.0129222634953344	0.0125525373600706	0.0125235245242417
Drancourtella massiliensis	0	6.75079442427267e-05	0	6.74692698559994e-05	6.96480548102204e-05	5.82133503831958e-05	0	0	0
Duodenibacillus massiliensis	0.000269180689102564	0.000318251737124065	0.000349716805413008	0.000147589027809989	0.000155125144836232	0.000148443958039841	0.00059015059015059	0.000478240076518413	0.000455470197066772
Dysosmobacter welbionis	0.00885530743241959	0.00862233689057738	0.00906472193826703	0.00995058468254612	0.00935755284195605	0.00934914690194965	0.00862603946218674	0.00794564770737217	0.00849694532993843
Eggerthella lenta	0	0	0	0	0	0	0	0	0
Eisenbergiella massiliensis	0.000375611476305615	0.000352455133860371	0.000312313480080153	0.000397429693282576	0.000303398566019244	0.000380669846697312	0.000367778420507584	0.000385597590972112	0.000327321548861176
Eisenbergiella tayi	0.00252872436353271	0.0023514951690477	0.00251893252108294	0.00195484491344075	0.00195493826098886	0.001866987144666	0.0022869214960251	0.00215110179633335	0.00243972602941667
Emergencia timonensis	0.000558608150095897	0.000719096800634486	0.000817594900255097	0.000614363480165636	0.000547568216312229	0.000496947432537815	0.000714760341585775	0.000688311121741237	0.000743193865645759
Enorma massiliensis	0.000106388707070567	0.000101272913492455	0	0	0	0	0	0	0
Enterobacter asburiae	0	0	0	0	0	5.14636691135703e-05	0	0	0
Enterocloster aldensis	0	0	0	0	0	3.00688158996107e-05	0	0	0
Enterocloster bolteae	0.00790567978715194	0.00773211736787621	0.00699510466105354	0.00780746723833412	0.0075876223551893	0.00797942755594416	0.00779859867323064	0.00736063120299268	0.00749403207046104
Enterocloster citroniae	0.000114688389651193	7.90251050428637e-05	0	6.43357228742672e-05	7.72110726766173e-05	0.000123824532222916	0.000103384337334255	0	0
Enterocloster clostridioformis	0	9.93310531323563e-05	9.81677070922908e-05	0.000103041701967024	5.96505056195907e-05	7.16588733329947e-05	0	0	0
Enterocloster lavalensis	9.43326673606096e-05	5.3099086213566e-05	9.71116853711103e-05	0.000100351516062238	9.4021810797819e-05	0.000141053162760521	0	0.000138144134117562	0.000111358137723369
Enterococcus faecalis	0	0	8.36279317291976e-05	0	0	3.78386559709399e-05	0.000132275132275132	0	0
Ercella succinigenes	0.000150351497823688	0.000114699797509526	0.000133759852081587	0.000115905512089541	0.000182927653158168	0.00020071623127143	0	0.000168856564063477	0.000166495358521016
Erysipelatoclostridium ramosum	0	0	0	5.6233203262778e-05	0	0	0	0	0
Erysipelotrichaceae bacterium GAM147	0.00163945253797217	0.00160183666732825	0.00138608865457761	0.00259752724907603	0.0023296331496327	0.00218607821724518	0.00363729882540133	0.00420721799614509	0.00308298783236145
Erysipelotrichaceae bacterium I46	0	0	0	0	0	8.75356616686861e-05	0	0	0
Escherichia coli	0.000250400641025641	0.000178413852630158	0.000190063481202722	0.000413249277867971	0.000351405940343301	0.000430778544899931	0.000335775335775336	0.000148785801583506	0.000232795878500795
Eubacterium coprostanoligenes	0.0045306977967409	0.00512096333903837	0.00474361765532852	0.00558716295692591	0.00604714173884998	0.005378650355958	0.00424297020946672	0.00554758488573495	0.00480759768238907
Eubacterium oxidoreducens	0.000409561254787297	0.000400669927494056	0.000283611382005986	0.000398978947040436	0.000353233624652706	0.000357818867711932	0.000481932689760408	0.000502699372923781	0.000460301886157269
Eubacterium ramulus	0.00366314931802859	0.0038188812164547	0.00389252099506848	0.00379640416572129	0.00409661386989113	0.00371946178084614	0.00371387871387935	0.00403847221217237	0.00343120881790464
Eubacterium uniforme	0.000127102650444195	8.27859988586519e-05	0.00017701044828175	0	0	0	0.000171451084634764	0	0.000191099838482569
